WKT;id;nom;type;uri
"MULTIPOINT ((899377.9 6432623.6))";PAIOROGR0000000007456322;Roches Rousses;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((902818.5 6444370.0))";PAIOROGR0000000007455610;Combe Crose;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((900350.1 6435429.6))";PAIOROGR0000000007456123;Tissonier;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((901840.4 6433720.5))";PAIOROGR0000000007456318;Sautelaire;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((904937.1 6444313.8))";PAIOROGR0000000007455603;Rochers de l'Ours;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((904126.5 6440197.6))";PAIOROGR0000000007455780;le Rasoir;Crête;http://purl.org/choucas.ign.fr/oor#crête
"MULTIPOINT ((903004.1 6441312.2))";PAIOROGR0000000007455699;Perte de la Fauge;Grotte;http://purl.org/choucas.ign.fr/oor#grotte
"MULTIPOINT ((903309.3 6443580.5))";PAIOROGR0000000007455608;Combe de Lurbeillet;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((899497.8 6439962.6))";PAIOROGR0000000007455789;Rochers Fournier;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((900522.1 6431842.5))";PAIOROGR0000000007456316;Chatelas;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((898358.9 6435428.7))";PAIOROGR0000000007456126;Ranc de l'Abbé;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((904525.5 6443369.2))";PAIOROGR0000000007455605;Combe de Pissavache;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((900355.2 6431722.0))";PAIOROGR0000000007456319;Ravin de Bourgmenu;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((904099.7 6439987.0))";PAIOROGR0000000007455782;le Peigne;Crête;http://purl.org/choucas.ign.fr/oor#crête
"MULTIPOINT ((899955.9 6434903.5))";PAIOROGR0000000007456124;Betrenand;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((899374.4 6434194.1))";PAIOROGR0000000007456233;Crête des Rochers de la Balme;Crête;http://purl.org/choucas.ign.fr/oor#crête
"MULTIPOINT ((902938.6 6442873.3))";PAIOROGR0000000007455697;Vallon de la Fauge;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((902588.0 6436366.5))";PAIOROGR0000000007455995;Côte Vialin;Versant;http://purl.org/choucas.ign.fr/oor#versant
"MULTIPOINT ((901915.8 6440689.2))";PAIOROGR0000000007455786;Rochers du Pourton;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((900780.1 6440018.6))";PAIOROGR0000000007455787;Combe Gendarme;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((903022.6 6436839.3))";PAIOROGR0000000007455994;Grande Sœur Agathe;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((902931.9 6437438.5))";PAIOROGR0000000007455996;Scialet des Deux Sœurs;Gouffre;http://purl.org/choucas.ign.fr/oor#gouffre
"MULTIPOINT ((902964.2 6439803.0))";PAIOROGR0000000007455785;Grande Combe;Vallée;http://purl.org/choucas.ign.fr/oor#vallée
"MULTIPOINT ((903082.5 6439502.2))";PAIOROGR0000000007455891;Scialet de l'Œillé;Gouffre;http://purl.org/choucas.ign.fr/oor#gouffre
"MULTIPOINT ((903338.3 6437251.8))";PAIOROGR0000000007455992;Grotte des Deux Sœurs;Grotte;http://purl.org/choucas.ign.fr/oor#grotte
"MULTIPOINT ((903221.5 6437427.0))";PAIOROGR0000000007455993;Petite Sœur Sophie;Sommet;http://purl.org/choucas.ign.fr/oor#sommet
"MULTIPOINT ((897601.5 6436929.8))";PAIOROGR0000000007456006;Rochers de l'Échalet;Rochers;http://purl.org/choucas.ign.fr/oor#rocher
"MULTIPOINT ((903270.7 6437221.8))";PAIOROGR0000000007455990;Rocher des Deux Sœurs;Escarpement;http://purl.org/choucas.ign.fr/oor#escarpement
"MULTIPOINT ((901933.0 6431533.5))";PAIOROGR0000000334508028;Canyon des Moules Marinières;Gorge;http://purl.org/choucas.ign.fr/oor#gorge
"MULTIPOINT ((902671.2 6437513.1))";PAIOROGR0000002221761861;Col du Clos d'Aspres;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((904015.2 6433634.7))";PAIOROGR0000002012151548;Col de Soliet;Col;http://purl.org/choucas.ign.fr/oor#col
"MULTIPOINT ((904195.0 6439744.1))";PAIE_NAT0000000338021531;la Pierre des Deux Heures;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((901548.8 6432896.6))";PAIE_NAT0000000007452059;les Traverses;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((904561.1 6435562.3))";PAIE_NAT0000000007451861;le Collet;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903400.7 6443868.4))";PAIE_NAT0000000007451452;les Côtes;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903672.8 6442515.3))";PAIE_NAT0000000007451549;Clos du Four;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((902476.8 6442498.6))";PAIE_NAT0000000007451552;l'Aversin;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((905010.4 6434932.0))";PAIE_NAT0000000007451857;Playnet;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((898354.0 6433222.8))";PAIE_NAT0000000007451960;la Fontaine Gravianelle;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((902673.0 6441844.6))";PAIE_NAT0000000007451551;le Jardin de Tanaz;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((901083.9 6442361.8))";PAIE_NAT0000000007451555;le Jarasset;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903488.6 6440954.4))";PAIE_NAT0000000007451622;les Selles;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((900301.1 6440431.3))";PAIE_NAT0000000007451625;les Vordaignes;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((904740.8 6435997.3))";PAIE_NAT0000000007451856;l'Envers;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((900866.8 6434057.4))";PAIE_NAT0000000007451956;les Adrets;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903634.9 6443570.7))";PAIE_NAT0000000007451453;Roybonnet;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((902568.1 6443936.5))";PAIE_NAT0000000007451456;la Croix des Plâtres;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((902281.1 6442053.7))";PAIE_NAT0000000007451550;Clos de la Mene;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((900962.9 6434778.9))";PAIE_NAT0000000007451869;les Arzeliers;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((899680.0 6438580.9))";PAIE_NAT0000000312980718;Piste des Deux Moucherolles;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903797.1 6445235.7))";PAIE_NAT0000000007451363;Prairies de Machiret;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903740.1 6444185.2))";PAIE_NAT0000000007451454;les Fourches;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903234.5 6441271.3))";PAIE_NAT0000000007451548;Gouillasson;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((902376.7 6440847.1))";PAIE_NAT0000000007451623;Pré des Prés;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((901843.8 6431367.6))";PAIE_NAT0000000007452140;le Fay;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((898448.1 6439067.5))";PAIE_NAT0000000007451691;le Bruchet;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((899177.5 6439196.1))";PAIE_NAT0000000007451690;la Grange Bonnet;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((900311.5 6436408.0))";PAIE_NAT0000000007451778;les Chaudières;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((904810.3 6435719.0))";PAIE_NAT0000000007451858;Savières;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((897599.2 6433280.3))";PAIE_NAT0000000007451961;Pré du Rey Blanc;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((902918.0 6443507.9))";PAIE_NAT0000000007451455;les Plâtres;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((904798.2 6441400.7))";PAIE_NAT0000000007451547;Pas de l'Âne;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((901482.0 6436478.9))";PAIE_NAT0000000007451777;Prés Achard;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903290.4 6436253.5))";PAIE_NAT0000000007451866;Pré Achard;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((901254.7 6435720.5))";PAIE_NAT0000000007451871;les Poules;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((905003.4 6433888.0))";PAIE_NAT0000000007451942;Champ du Pré;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((902506.1 6433580.8))";PAIE_NAT0000000007451954;le Château;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((899655.0 6431386.4))";PAIE_NAT0000000007452142;Pierre Blanche;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
"MULTIPOINT ((903848.8 6434670.7))";PAIE_NAT0000000007451946;Darbonière;Lieu-dit non habité;http://purl.org/choucas.ign.fr/oor#lieu-dit
